,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,The Stylistics,You Make Me Feel Brand New,0.451,0.359,7,-8.567,1,0.0247,0.847,2.97e-05,0.137,0.178,76.015,audio_features,00CCi9yHJh7NjXcNT565Ja,spotify:track:00CCi9yHJh7NjXcNT565Ja,https://api.spotify.com/v1/tracks/00CCi9yHJh7NjXcNT565Ja,https://api.spotify.com/v1/audio-analysis/00CCi9yHJh7NjXcNT565Ja,288440,4
1,Al Green,Let's Stay Together,0.756,0.397,7,-10.701,0,0.0522,0.57,0.0115,0.0542,0.507,101.985,audio_features,63xdwScd1Ai1GigAwQxE8y,spotify:track:63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/tracks/63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/audio-analysis/63xdwScd1Ai1GigAwQxE8y,199396,4
2,The Delfonics,I Gave to You,0.517,0.372,5,-8.936,1,0.0326,0.775,0.000466,0.152,0.479,121.097,audio_features,7ni5SnrJnT1QwZe1rcPqhC,spotify:track:7ni5SnrJnT1QwZe1rcPqhC,https://api.spotify.com/v1/tracks/7ni5SnrJnT1QwZe1rcPqhC,https://api.spotify.com/v1/audio-analysis/7ni5SnrJnT1QwZe1rcPqhC,354240,3
3,Khruangbin,Maria También,0.748,0.63,6,-7.318,0,0.046,0.00261,0.859,0.532,0.846,103.597,audio_features,66MpvsWO5O7gy9LjXGFw6I,spotify:track:66MpvsWO5O7gy9LjXGFw6I,https://api.spotify.com/v1/tracks/66MpvsWO5O7gy9LjXGFw6I,https://api.spotify.com/v1/audio-analysis/66MpvsWO5O7gy9LjXGFw6I,190999,4
4,The Isley Brothers,Voyage to Atlantis,0.555,0.369,11,-11.677,0,0.0267,0.101,0.00153,0.101,0.472,74.495,audio_features,7r1gEyIhacXnvLriLjmp3c,spotify:track:7r1gEyIhacXnvLriLjmp3c,https://api.spotify.com/v1/tracks/7r1gEyIhacXnvLriLjmp3c,https://api.spotify.com/v1/audio-analysis/7r1gEyIhacXnvLriLjmp3c,272533,4
5,Khruangbin,August 10,0.596,0.401,4,-12.586,0,0.0383,0.0159,0.894,0.16,0.739,82.082,audio_features,4VBR3KptORIDW9dRAeLpCn,spotify:track:4VBR3KptORIDW9dRAeLpCn,https://api.spotify.com/v1/tracks/4VBR3KptORIDW9dRAeLpCn,https://api.spotify.com/v1/audio-analysis/4VBR3KptORIDW9dRAeLpCn,265410,4
6,Khruangbin,Cómo Me Quieres,0.549,0.532,6,-10.047,1,0.0423,0.00605,0.883,0.371,0.564,85.477,audio_features,2pCnrWHxYVDWN3S4PgNMa0,spotify:track:2pCnrWHxYVDWN3S4PgNMa0,https://api.spotify.com/v1/tracks/2pCnrWHxYVDWN3S4PgNMa0,https://api.spotify.com/v1/audio-analysis/2pCnrWHxYVDWN3S4PgNMa0,225154,4
7,Thundercat,Dragonball Durag,0.648,0.59,2,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,audio_features,62PclpoBFLl50PJpiJA5RT,spotify:track:62PclpoBFLl50PJpiJA5RT,https://api.spotify.com/v1/tracks/62PclpoBFLl50PJpiJA5RT,https://api.spotify.com/v1/audio-analysis/62PclpoBFLl50PJpiJA5RT,181922,4
8,Fleetwood Mac,Dreams - 2004 Remaster,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4
9,Sade,No Ordinary Love,0.629,0.364,11,-12.259,0,0.038,0.468,0.0198,0.0941,0.699,166.254,audio_features,42vYxMAWsFpBOS7hgAdzqW,spotify:track:42vYxMAWsFpBOS7hgAdzqW,https://api.spotify.com/v1/tracks/42vYxMAWsFpBOS7hgAdzqW,https://api.spotify.com/v1/audio-analysis/42vYxMAWsFpBOS7hgAdzqW,440467,4
